"Time","Vhcl.Steer.Ang"
"F1","F1"
"s","rad"
49.5,-0.09009308368
50,-0.08860053122
50.5,-0.0875793919
51,-0.08952043205
51.5,-0.09819000959
52,-0.1152449325
52.5,-0.1265247315
53,-0.1327623427
53.5,-0.1090503484
54,0.02845389396
54.5,0.2725363374
55,0.5635089278
55.5,0.8696506023
56,1.120601773
56.5,1.219463348
57,1.117941141
57.5,0.7675184608
58,0.2544417381
58.5,-0.3255570233
59,-0.8470981717
59.5,-1.162038207
60,-1.212645054
60.5,-1.087875843
61,-0.9005042315
61.5,-0.6721943021
62,-0.4403944314
62.5,-0.2174484432
63,-0.05474157259
63.5,0.03310519084
64,0.05096841231
64.5,0.03946927935
65,0.02673343942
65.5,0.02220226452
66,0.01934143901
66.5,0.01148624904
67,0.005659580696
67.5,0.006739282049
68,0.01127821114
68.5,0.007990911603
69,0.0008641754976
69.5,-0.003761991626
70,-0.006788089871
70.5,-0.0075453748
71,-0.008431086317
71.5,-0.01156817842
72,-0.01376156975
72.5,-0.01533504482
73,-0.01573933288
73.5,-0.01677474566
74,-0.01827335916
74.5,-0.01877350546
75,-0.01858273149
75.5,-0.01946185343
76,-0.01981932111
76.5,-0.01569929905
77,-0.0105309533
77.5,-0.01043584291
78,-0.009353545494
78.5,-0.006753678899
79,-0.006350507494
79.5,-0.007798184641
80,-0.005354454741
80.5,-0.00257256953
81,-0.0007161528338
81.5,-0.001989098266
82,-0.003126116237
82.5,-0.004326106515
83,-0.008841974661
83.5,-0.007240791339
84,-0.002240856411
84.5,-0.001225958578
85,-0.00117532583
85.5,0.0017202046
86,0.008349201642
86.5,0.01145547442
87,0.01294611581
87.5,0.01613179594
88,0.01864722185
88.5,0.02186739445
89,0.02630610205
89.5,0.0269150883
90,0.02598581277
90.5,0.02471093275
91,0.02745300718
91.5,0.02739214525
92,0.02907462046
92.5,0.0335242711
93,0.03143814951
93.5,0.02404839359
94,0.01736252569
94.5,0.01321732346
95,0.0119781103
95.5,0.006300355308
96,0.004932031967
96.5,0.03495417908
97,0.09815631807
97.5,0.1838909984
98,0.2955061197
98.5,0.406375289
99,0.4939785004
99.5,0.5748177767
100,0.6137981415
100.5,0.620362103
101,0.61783427
101.5,0.586284399
102,0.5363202095
102.5,0.4543970227
103,0.3354740143
103.5,0.2107653022
104,0.1093118414
104.5,0.02717942186
105,-0.0419395268
105.5,-0.08566579223
106,-0.1409159899
106.5,-0.2217613459
107,-0.3193218708
107.5,-0.4160625637
108,-0.5151072145
108.5,-0.5816832185
109,-0.6331533194
109.5,-0.6657934785
110,-0.6474806666
110.5,-0.6131185889
111,-0.5747664571
111.5,-0.5141601563
112,-0.425953567
112.5,-0.3104033172
113,-0.1838207245
113.5,-0.06738880277
114,0.01436091401
114.5,0.07905396074
115,0.105574429
115.5,0.1057120115
116,0.09703511
116.5,0.0820550099
117,0.07743182033
117.5,0.07532355934
118,0.06126628071
118.5,0.05602225661
119,0.0657139793
119.5,0.06371295452
120,0.06669542938
120.5,0.06677149236
121,0.06194505095
121.5,0.06415863335
122,0.05940533802
122.5,0.0619247146
123,0.06654205918
123.5,0.06055850908
124,0.06093404442
124.5,0.06988626719
125,0.06178869307
125.5,0.05771592259
126,0.05227969587
126.5,0.04474550486
127,0.03512900695
127.5,0.03037071787
128,0.03221267462
128.5,0.03741706908
129,0.03255626932
129.5,0.02905300818
130,0.02115956321
130.5,-0.04304353893
131,-0.1887686253
131.5,-0.4081694782
132,-0.6723929048
132.5,-0.8953102231
133,-1.020485401
133.5,-1.045201063
134,-1.054271579
134.5,-1.013795376
135,-0.8715924621
135.5,-0.6562319398
136,-0.4230879247
136.5,-0.196158722
137,-0.02395495586
137.5,0.04920879379
138,0.06535202265
138.5,0.06707448512
139,0.05493514985
139.5,0.04259157181
140,0.03688336536
140.5,0.02757138386
141,0.0137745589
141.5,-0.006431638263
142,-0.03458110243
142.5,-0.0598458685
143,-0.0838822946
143.5,-0.1085007787
144,-0.1295199096
144.5,-0.1475216746
145,-0.1550976038
145.5,-0.1531538069
146,-0.1451224387
146.5,-0.1257838607
147,-0.1092411205
147.5,-0.0855512321
148,-0.06262332201
148.5,-0.04579439014
